rotation_range,width_shift_range,hight_shift_range,shear_range,zoom_range,horizontal_flip,vertical_flip,val_loss
25.540205954131704,0.30141038207117476,0.3777846125764369,0.20877558937840424,0.2186768398278849,1.0,1.0,0.11805320531129837
48.46249718682108,0.30872064016577705,0.25887569221718154,0.1238165262467579,0.32559540998085024,0.0,0.0,0.0354827456176281
48.9560779549919,0.20294049266480133,0.16817269263794715,0.31355196967897186,0.2542656335394635,1.0,1.0,0.15550629794597626
23.302356159314765,0.3533859221288711,0.2874382065644425,0.22534336949149014,0.3852312428100497,1.0,1.0,0.12800569832324982
12.869610834380207,0.39001247467524347,0.3539788025167624,0.26195757854172674,0.11252097383126412,0.0,1.0,0.045992691069841385
48.37127492087304,0.33638477547108264,0.2569603620217177,0.17927587436924092,0.30287423016656356,0.0,0.0,0.03376489132642746
47.432187993477804,0.1,0.4,0.1,0.4,0.0,0.0,0.03159112110733986
45.670483726302706,0.4,0.1,0.1,0.1,0.0,0.0,0.03223563730716705
43.62071495285816,0.1,0.4,0.4,0.4,0.0,0.0,0.033071283251047134
41.84100727046543,0.4,0.1,0.1,0.1,1.0,1.0,0.12758399546146393
